Surname,Firstname,Branch,Military Unit,Page No
PAUL,Richard J,Railways Locomotive,3rd Battalion,12
PAVEY,Thomas S,Railways Traffic,30th Battalion (3rd Reinforcements),6
PAWLEY,Archie H,Railways Construction,4th Divisional Headquarters,20
PAXTON,Robert,Railways Locomotive,19th Battalion (10th Reinforcements),12
PAYNE,Thomas,Railways Traffic,Light Railway Operating Company,6
PEARCE,Charles,Tramways Traffic,59th Battalion (7th Reinforcements),23
PEARCE,Ralph W,Railways Audit,9th Battalion,20
PEARSON,Sidney W,Railways Traffic,20th Battalion (14th Reinforcements),6
PEEBLES,James H,Tramways Traffic,45th Battalion,23
PENDLETON,Frederick,Railways Locomotive,Medium Trench Mortar Battery,12
PERKINS,John A T,Railways Traffic,30th Battalion,6
PERRY,Arthur R,Tramways Traffic,53rd Battalion,23
PERRY,Charles,Tramways Traffic,2nd Battalion (8th Reinforcements),23
PERT,Alexander H,Railways Locomotive,19th Battalion,12
PICKERING,Stephen,Railways Locomotive,53rd Battalion,12
PLUMB,Richard J,Tramways Traffic,53rd Battalion,23
POLL,Leslie,Railways Locomotive,36th Battalion,12
POOLE,Frederick C,Railways Locomotive,Railway Operating Section,12
POOLE,Henry B,Railways Traffic,10th Field Artillery Brigade,6
POPE,John G,Railways Electrical,1st Australian Light Horse,19
PORTER,John,Railways Permanent Way,7th Field Company Engineers,17
PORTER,Samuel E,Railways Stores,9th Field Ambulance,20
POTTER,Walter E,Railways Locomotive,53rd Battalion,12
POWER,Leslie,Railways Locomotive,12th Field Ambulance,12
POXON,John,Railways Locomotive,14th Light Trench Mortar Battery,12
PRATT,Frederick C,Railways Traffic,3rd Battalion,6
PRESGRAVE,Arthur G,Railways Locomotive,2nd Battalion (10th Reinforcements),12
PRESTON,Frederick M,Railways Locomotive,34th Battalion (5th Reinforcements),13
PRICE,William G,Railways Locomotive,30th Battalion (11th Reinforcements),13
PRIEST,Arthur J,Railways Locomotive,1st Field Engineers (12th Reinforcements),13
PRIEST,Thomas,Railways Permanent Way,2nd Battalion,17
PRINGLE,Archibald,Railways Locomotive,45th Battalion,13
PRITCHARD,Herbert E,Railways Traffic,30th Battalion (3rd Reinforcements),6
PRITCHARD,Leslie,Railways Locomotive,30th Battalion,13
PROCTOR,James T G,Railways Locomotive,4th Divisional Headquarters Staff,13
PROCTOR,Thomas J,Railways Permanent Way,35th Battalion,17
PUBBEPHATT,Thomas,Railways Permanent Way,1st Pioneers,17
PUGH,William J,Tramways Permanent Way,36th Battalion (3th Reinforcements),27
PUTLAND,Wesley J,Tramways Traffic,1st Battalion,23
QUILTER,Richard,Tramways Traffic,9th Battalion,23
QUINN,Stanley,Railways Locomotive,35th Battalion,13
QUINN,William J P,Railways Traffic,5th Machine Gun Company,6
RAINE,Thomas F,Tramways Traffic,17th Battalion (7th Reinforcements),24
RALPH,Leslie,Railways Signalling,14th Field Company Engineers,19
RAMAGE,Stanley,Railways Permanent Way,18th Battalion (14th Reinforcements),18
RAMSAY,James,Railways Traffic,2nd Battalion (17th Reinforcements),6
RANKIN,David P,Railways Traffic,30th Battalion,6
RAYMONT,Wenzel,Railways Permanent Way,10th Field Artillery Brigade,18
READ,Cyril,Railways Permanent Way,53rd Battalion (5th Reinforcements),18
REBOUL,Edward M T,Tramways Traffic,13th Battalion,24
REDFORD,John A,Tramways Traffic,1st Battalion,24
REDMAN,Harold,Railways Traffic,5th Field Ambulance (6th Reinforcements),6
REDMAN,Reuben J,Tramways Traffic,Recruits,24
REED,George F,Railways Locomotive,4th Railway Section,13
REID,Albert,Railways Traffic,12th Field Ambulance,6
REID,Mersey A,Railways Locomotive,17th Battalion (7th Reinforcements),13
REID,Norman,Railways Locomotive,5th Field Artillery Brigade,13
REILLY,Felix,Railways Locomotive,17th Battalion,13
REIS,Robert,Railways Locomotive,20th Battalion,13
RENN,Ernest G,Railways Traffic,1st Battalion,6
REYNOLDS,William,Railways Locomotive,17th Battalion (17th Reinforcements),13
RICHARDS,Bernard M,Railways Traffic,19th Battalion,6
RICHARDS,George I,Railways Traffic,5th Light Trench Mortar Battery,6
RICHARDS,James P,Railways Permanent Way,56th Battalion (2nd Reinforcements),18
RICHARDS,Leslie,Railways Traffic,53rd Battalion (4th Reinforcements),6
RICHARDS,Thomas J,Railways Locomotive,54th Battalion (7th Reinforcements),13
RICHARDSON,George E,Tramways Permanent Way,35th Battalion,27
RICHARDSON,Robert F,Railways Permanent Way,20th Battalion (6th Reinforcements),18
RICHENS,Enoch W,Railways Traffic,13th Battalion,6
RIDER,Cyril A,Railways Traffic,Recruits,6
RILEY,John,Tramways Electrical,3rd Battalion (6th Reinforcements),26
RITCHIE,Robert,Tramways Traffic,3rd Machine Gun Battalion,24
RIXON,George,Tramways Traffic,13th Battalion,24
ROACH,Thomas,Railways Permanent Way,36th Battalion (5th Reinforcements),18
ROBERTS,Albert W,Tramways Traffic,"""D"" Company Recruits",24
ROBERTS,John H,Railways Permanent Way,54th Battalion,18
ROBERTS,Lionel T,Railways Locomotive,20th Battalion,13
ROBERTSON,Wallace R,Railways Locomotive,18th Battalion,13
ROBERTSON,William,Tramways Traffic,4th Battalion,24
ROBERTSON,William J,Railways Locomotive,33rd Battalion,13
ROBINS,William J,Tramways Traffic,17th Battalion (9th Reinforcements),24
ROBINSON,Edward,Railways Permanent Way,59th Battalion (7th Reinforcements),18
ROBINSON,Henry J,Railways Locomotive,30th Battalion,13
ROBINSON,Horace F,Railways Traffic,30th Battalion,6
ROBINSON,Leonard,Railways Permanent Way,41st Battalion (1st Reinforcements),18
ROBINSON,Robert,Railways Locomotive,18th Battalion,13
ROBINSON,Thomas G,Tramways Traffic,13th Battalion (8th Reinforcements),24
ROBINSON,William R,Railways Traffic,20th Battalion (2nd Reinforcements),6
RODDAN,Alexander R,Railways Traffic,55th Battalion,7
ROGERS,Frederick,Railways Permanent Way,5th Battalion (3rd Reinforcements),18
ROGERS,Herbert H,Tramways Electrical,56th Battalion,26
ROGERSON,George,Tramways Traffic,17th Battalion (7th Reinforcements),24
ROLBIN,Harris,Railways Locomotive,3rd Battalion (3rd Reinforcements),13
ROSE,Walter,Railways Stores,5th Field Ambulance,20
ROSS,Charles H,Railways Locomotive,13th Battalion (3rd Reinforcements),13
ROSS,Donald,Railways Permanent Way,45th Battalion (2nd Reinforcements),18
ROSS,Ivo Edwin,Railways Traffic,1st Field Artillery Brigade,7
ROSS,William,Railways Locomotive,30th Battalion,13
ROWLAND,Frederick,Tramways Permanent Way,18th Battalion (6th Reinforcements),27
ROWLINSON,Stanley,Tramways Permanent Way,19th Battalion,27
ROWSELL,William H,Tramways Traffic,1st Battalion,24
RUE,Albert,Railways Permanent Way,55th Battalion,18
RUSSELL,Arthur,Railways Permanent Way,54th Battalion,18
RYAN,Albert E,Tramways Traffic,17th Battalion,24
RYAN,Francis,Railways Locomotive,54th Battalion,13
RYAN,Richard,Railways Traffic,Army Postal Corps,7
SADLER,Edgar H,Railways Signalling,35th Battalion,19
SADLER,Ernest,Railways Traffic,6th Australian Light Horse,7
SAINTY,Frederick L,Tramways Electrical,1st Field Company Engineers,26
SALMON,Francis H,Tramways Electrical,20th Battalion (4th Reinforcements),26
SAMBROOK,Horace C,Railways Locomotive,19th Battalion (18th Reinforcements),13
SAMBROOK,Horace J,Railways Locomotive,9th Field Company Engineers,13
SAMPSON,Arthur G,Tramways Traffic,1st Field Artillery Brigade (1st Reinforcements),24
SAMUEL,Alexander D,Railways Locomotive,17th Battalion (10th Reinforcements),13
SANDERS,John R,Railways Locomotive,12th Field Artillery Brigade,13
SANDERS,Walter R,Railways Locomotive,4th Field Artillery Brigade,13
SANDILANDS,Claud,Tramways Traffic,2nd Battalion,24
SAUNDERS,Walter G,Tramways Traffic,5th Mechanical Transport Company,24
SAXTON,John,Railways Permanent Way,No.1 Mining Corps,18
SCHADEL,Ernest J,Railways Traffic,3rd Battalion,7
SCHMUTTER,Clifford V,Railways Traffic,3rd Battalion (14th Reinforcements),7
SCHUBERT,Phillip,Railways Permanent Way,34th Battalion,18
SCOBIE,Walter F,Tramways Electrical,4th Pioneer Battalion,26
SCOTT,Harold,Railways Locomotive,13th Battalion,13
SCOTT,William F,Railways Electrical,30th Battalion,19
SCULLY,Charles E,Tramways Traffic,4th Battalion (7th Reinforcements),24
SEABROOK,Theodore L,Railways Locomotive,17th Battalion (17th Reinforcements),13
SEAGE,Allan J,Railways Traffic,3rd Artillery Brigade,7
SEAGE,Joseph,Railways Locomotive,13th Battalion (6th Reinforcements),13
SEALE,Frank L,Tramways Electrical,7th Field Artillery Brigade,26
SEIDEL,George,Railways Permanent Way,19th Battalion,18
SELMON,Leonard,Railways Traffic,9th Battalion,7
SENIOR,Sachaveral,Tramways Electrical,3rd Battalion (6th Reinforcements),26
SEWELL,Callis,Railways Traffic,19th Battalion,7
SHANAHAN,Patrick,Tramways Traffic,Imperial Reservist,24
SHANNON,Edwin F,Tramways Electrical,20th Pioneer Battalion,26
SHARP,Charles,Railways Permanent Way,39th Battalion (5th Reinforcements),18
SHARROCK,Henry W,Railways Traffic,2nd Field Artillery Brigade,7
SHAW,Ralph,Railways Traffic,1st Battalion (23rd Reinforcements),7
SHEAN,John,Tramways Electrical,17th Battalion (9th Reinforcements),26
SHERAN,Francis J C,Railways Traffic,4th Battalion (7th Reinforcements),7
SHERBOURNE,Alonza,Tramways Traffic,4th Battalion,24
SHIELDS,Albert C,Railways Traffic,20th Battalion,7
SHIELLS,David,Railways Locomotive,13th Battalion,13
SHOEMARK,Leslie,Railways Locomotive,31st Battalion (4th Reinforcements),13
SHUMER,Roy S,Railways Electrical,60th Battalion,19
SILK,Reuben,Tramways Traffic,56th Battalion,24
SILVA,Manuel A,Railways Locomotive,1st Field Ambulance,13
SIM,Ernest,Railways Locomotive,18th Battalion,13
SIMONS,Harold,Railways Locomotive,3rd Battalion,13
SIMPSON,Joseph H,Railways Traffic,Railway Operating Section,7
SINCLAIR,Charles,Railways Locomotive,55th Battalion,13
SINCLAIR,Hunter,Railways Locomotive,6th Broad Gauge Railway Operating Coy,13
SIPPELL,Albert,Railways Signalling,20th Battalion (12th Reinforcements),19
SKELLERN,James W,Railways Stores,2nd Battalion (6th Reinforcements),20
SLATTERY,John,Railways Permanent Way,1st Field Company Engineers,18
SLEDGE,Alfred,Railways Permanent Way,4th Battalion,18
SLEE,William,Railways Permanent Way,2nd Battalion,18
SMALLEY,Edward J,Railways Signalling,3rd Battalion,19
SMITH,Alfred,Railways Permanent Way,18th Battalion,18
SMITH,Arthur L,Railways Traffic,1st Field Ambulance,7
SMITH,Charles W,Tramways Traffic,3rd Battalion,24
SMITH,Edgar,Railways Locomotive,2nd Battalion,13
SMITH,Edwin,Railways Locomotive,2nd Battalion (21st Reinforcements),13
SMITH,George T,Tramways Traffic,18th Battalion,24
SMITH,Henry,Tramways Electrical,17th Battalion (7th Reinforcements),26
SMITH,Henry T,Railways Signalling,3rd Battalion (12th Reinforcements),19
SMITH,John,Railways Permanent Way,1st Field Ambulance,18
SMITH,John H G,Railways Audit,Australian Army Medical Corps,20
SMITH,John S,Tramways Electrical,19th Battalion (17th Reinforcements),26
SMITH,John W,Railways Locomotive,63rd Battalion,13
SMITH,Michael E,Tramways Traffic,19th Battalion,24
SMITH,Stuart R,Railways Traffic,3rd Australian Light Horse (11th Reinforcements),7
SMITH,William A C,Tramways Electrical,17th Battalion (12th Reinforcements),26
SMITH,William F,Railways Permanent Way,1st Machine Gun Section,18
SMYTH,Arthur,Railways Permanent Way,2nd Battalion (13th Reinforcements),18
SMYTHE,William A,Railways Traffic,4th Battalion,7
SNELLING,James B,Railways Traffic,4th Battalion,7
SOMERS,Francis P,Railways Locomotive,51st Battalion,13
SORLEY,Robert,Railways Locomotive,30th Battalion,13
SPARKS,Edward,Railways Locomotive,20th Battalion,13
SPENCER,Francis E,Railways Locomotive,34th Battalion,13
SPENCER,William C,Railways Locomotive,1st Battalion (21st Reinforcements),13
SPILLANE,Thomas F,Tramways Electrical,17th Battalion,26
SPINKS,Frederick K,Railways Traffic,20th Battalion,7
SPRIGGS,Ernest W,Railways Traffic,46th Battalion,7
STACH,Vincent E,Tramways Traffic,2nd Battalion,24
STALGIS,George F,Railways Traffic,14th Machine Gun Company,7
STARR,Walter,Tramways Electrical,13th Battalion (12th Reinforcements),26
STEAVENS,John E,Tramways Traffic,17th Battalion (7th Reinforcements),24
STEENSON,Geoffrey,Railways Locomotive,13th Battalion (6th Reinforcements),13
STEPHEN,George,Tramways Traffic,1st Divisional Signal Company,24
STEVENS,William D,Railways Locomotive,19th Battalion (3rd Reinforcements),13
STEVENSON,Alfred,Railways Locomotive,45th Battalion,13
STEVENSON,George,Railways Permanent Way,35th Battalion (4th Reinforcements),18
STEWART,George,Railways Locomotive,46th Battalion (7th Reinforcements),13
STEWART,George V,Railways Locomotive,13th Battalion (12th Reinforcements),13
STEWART,Selby A S,Tramways Electrical,1st Battalion,26
STIMSON,Leslie N,Railways Locomotive,7th Field Artillery Brigade,14
STOKER,Cecil John,Railways Traffic,13th Battalion,7
STONELL,Alfred,Railways Locomotive,18th Battalion,14
STORMONT,F G LeP,Railways Locomotive,55th Battalion (5th Reinforcements),14
STRAFFORD,Thomas F,Tramways Traffic,2nd Battalion,24
STUDDERT,John D,Railways Permanent Way,3rd Battalion (14th Reinforcements),18
STURGEON,William,Railways Locomotive,56th Battalion,14
STYLES,Charles H,Tramways Permanent Way,Railway Operating Company,27
SULLINGS,Herbert,Railways Locomotive,2nd Australian Light Horse,14
SULLIVAN,Francis J,Tramways Traffic,17th Battalion,24
SULLIVAN,Reginald W,Railways Traffic,2nd Battalion (19th Reinforcements),7
SULLIVAN,Sidney J,Tramways Traffic,3rd Australian General Hospital,24
SULLIVAN,Thomas J,Railways Locomotive,2nd Battalion,14
SUMMERS,William B,Tramways Permanent Way,1st Field Ambulance,27
SUTHERLAND,Benjamin H,Railways Signalling,9th Field Ambulance,19
SUTHERLAND,Donald,Railways Locomotive,19th Battalion (12th Reinforcements),14
SUTHONS,Archibald,Railways Permanent Way,18th Battalion (16th Reinforcements),18
SWANN,Frank M,Railways Locomotive,1st Battalion,14
SWANN,Frederick H J,Tramways Electrical,27th Battalion,26
SWANSON,Alfred,Railways Permanent Way,29th Battalion,18
SWANSON,Donald,Railways Signalling,17th Battalion (4th Reinforcements),19
SWANSON,Henry,Tramways Traffic,54th Battalion,24
SWEENY,Francis T,Railways Permanent Way,Trench Mortar Battery (2nd Reinforcements),18
SWINDELLS,Frank,Railways Locomotive,45th Battalion,14
SYKES,Robert P,Railways Locomotive,3rd Battalion,14
SYME,John W,Railways Locomotive,4th Battalion,14
TALBOT,Harry,Tramways Traffic,2nd Battalion,24
TALLENTINE,Albert W,Railways Locomotive,2nd Australian Light Horse,14
TAMSETT,James A,Railways Locomotive,4th Battalion,14
TANNER,Arthur B,Railways Locomotive,3rd Battalion,14
TANSEY,Martin,Railways Locomotive,19th Battalion (13th Reinforcements),14
TARRAN,Harry,Railways Locomotive,4th Battalion (24th Reinforcements),14
TAYLOR,Albert,Railways Traffic,55th Battalion,7
TAYLOR,Edward B,Tramways Permanent Way,45th  Battalion,27
TAYLOR,George H,Tramways Traffic,4th Battalion (3rd Reinforcements),24
TAYLOR,Richard H,Tramways Traffic,2nd Trench Mortar Brigade,24
TEAKEL,Clarence,Tramways Traffic,30th Battalion,24
TEALE,John,Railways Permanent Way,15th Battalion,18
THELNING,William P P,Tramways Permanent Way,30th Battalion (5th Reinforcements),27
THOMAS,Lewis,Railways Traffic,3rd Battalion,7
THOMPSON,Bernard,Tramways Traffic,105th Howitzer Battery,24
THOMSON,Albert J,Railways Permanent Way,15th Battalion (4th Reinforcements),18
THOROGOOD,George E,Railways Traffic,17th Battalion,7
THWAITE,Rowland L J,Railways Locomotive,3rd Battalion (11th Reinforcements),14
TIBBETS,Stanley G,Railways Signalling,Railway Operating Section,19
TICKNER,Charles L,Tramways Traffic,4th Battalion,24
TIDESWELL,Percy,Railways Signalling,5th Machine Gun Company,19
TIEDEMAN,John A,Tramways Traffic,4th Light Trench Battery,24
TIER,William,Tramways Traffic,53rd Battalion,24
TILBROOK,William C,Railways Permanent Way,3rd Battalion (9th Reinforcements),18
TODD,Sydney C,Railways Traffic,1st Battalion (9th Reinforcements),7
TOMAN,James,Railways Locomotive,Headquarters Anzac Mounted Division Base,14
TOMLEY,John W,Railways Permanent Way,1st Battalion,18
TOMLINSON,William,Railways Locomotive,45th Battalion,14
TONETTI,John T,Railways Permanent Way,34th Battalion,18
TONNER,James E,Tramways Traffic,8th Battalion,24
TOOHEY,James,Railways Permanent Way,56th Battalion,18
TOOMEY,Stuart T,Railways Traffic,23rd Battalion,7
TOONE,William J,Railways Traffic,55th Battalion (3rd Reinforcements),7
TOWNE,Harold V,Railways Traffic,54th Battalion,7
TRELEAVEN,Leslie T,Railways Traffic,30th Battalion (10th Reinforcements),7
TROTTER,Joseph H,Railways Traffic,20th Battalion,7
TRUELAND,John M,Railways Locomotive,17th Battalion (9th Reinforcements),14
TUFREY,Ernest,Railways Locomotive,Recruits,14
TURK,Charles W,Railways Traffic,10th Depot Unit of Supply,7
TURLEY,Benjamin L,Railways Signalling,56th Battalion,19
TURNER,Charles A,Railways Locomotive,Remount Unit,14
TWIGDEN,George W,Tramways Electrical,4th Field Company Engineers,26
TWISS,John E,Railways Traffic,19th Battalion (6th Reinforcements),7
TYRELL,William R,Railways Locomotive,33rd Battalion (9th Reinforcements),14
UEBEL,Charles A,Tramways Traffic,19th Battalion,24
UPJOHN,Edward H,Tramways Traffic,2nd Battalion (5th Reinforcements),24
UPTON,Clarence L,Tramways Traffic,53rd Battalion,24
USSHER,Robert D,Railways Locomotive,4th Battalion,14
VALLANCE,Reginald,Railways Locomotive,17th Battalion (15th Reinforcements),14
VERNON,Arthur,Railways Permanent Way,21st General Service Reinforcements,18
WADDELL,Andrew,Railways Locomotive,9th Battalion,14
WAILES,Charles E,Tramways Electrical,7th Field Company Engineers,26
WAILES,Herbert C,Railways Traffic,19th Battalion,7
WALFORD,Norman A,Railways Traffic,2nd Battalion,7
WALLACE,Allen L,Railways Locomotive,1st Battalion,14
WALLACE,Leslie H,Railways Traffic,-,7
WALLACE,Thomas,Railways Locomotive,5th Machine Gun Company,14
WALLEN,John J,Railways Locomotive,13th Battalion,14
WALSH,John,Railways Locomotive,34th Battalion (6th Reinforcements),14
WALSH,Leo D,Railways Permanent Way,17th Battalion (9th Reinforcements),18
WALSH,Stanley N,Railways Locomotive,3rd Battalion (11th Reinforcements),14
WALSH,Thomas,Tramways Traffic,55th Battalion (8th Reinforcements),24
WALTER,William G,Tramways Electrical,16th Battalion,26
WALTON,Thomas,Railways Permanent Way,53rd Battalion,18
WARD,Charles A,Tramways Electrical,2nd Battalion (5th Reinforcements),26
WARREN,Frederick C,Tramways Traffic,36th Battalion,24
WARREN,James,Railways Permanent Way,5th Pioneer Battalion,18
WASSON,Reginald,Railways Permanent Way,3rd Battalion,18
WASTNEY,Nolan D,Railways Traffic,1st Battalion (12th Reinforcements),7
WATERS,George Edgar,Railways Locomotive,53rd Battalion (11th Reinforcements),14
WATKINS,Walter E,Tramways Traffic,1st Pioneer Battalion (8th Reinforcements),24
WATSON,Albert F,Railways Locomotive,38th Field Artillery,14
WATSON,Clarence S,Tramways Traffic,55th Battalion,24
WATSON,James,Railways Locomotive,1st Battalion (16th Reinforcements),14
WATSON,James H,Railways Construction,30th Battalion,20
WATSON,Robert,Tramways Permanent Way,4th Battalion,27
WATSON,Robert C,Railways Locomotive,20th Battalion,14
WATTS,Horace C,Railways Locomotive,20th Battalion,14
WAUGH,Charles G,Tramways Stores,17th Battalion (8th Reinforcements),27
WAUGH,Francis W,Railways Permanent Way,36th Battalion (4th Reinforcements),18
WEAVER,Horace K,Railways Traffic,Railway Supply (11th ASC),7
WEBB,Arthur,Railways Locomotive,1st Battalion (16th Reinforcements),14
WEBBER,George,Railways Permanent Way,4th Battalion,18
WEBSTER,Frank G,Railways Permanent Way,19th Battalion,18
WEISMANTLE,Clarence,Railways Traffic,35th Battalion,7
WELFARE,Spencer C,Railways Locomotive,4th Battalion (22nd Reinforcements),14
WELLS,Daniel,Tramways Electrical,13th Battalion (6th Reinforcements),26
WEST,Claud Bertie,Railways Traffic,1st Battalion,7
WEST,Samuel,Tramways Electrical,20th Battalion,26
WHALAN,Richard P,Tramways Traffic,1st Machine Gun Company,24
WHATTON,Ernest W,Tramways Permanent Way,13th Battalion (4th Reinforcements),27
WHEELER,John E,Railways Traffic,45th Battalion (3rd Reinforcements),7
WHITE,Colin N,Railways Traffic,58th Battalion,7
WHITE,Ernest C,Railways Permanent Way,54th Battalion,18
WHITE,Michael,Railways Permanent Way,13th Battalion (11th Reinforcements),18
WHITE,Richard T,Tramways Electrical,18th Battalion (16th Reinforcements),26
WHITELAW,Philip T,Railways Locomotive,56th Battalion,14
WHITFORD,Alexander,Railways Traffic,1st Battalion (5th Reinforcements),7
WHITLOCK,Arthur,Railways Locomotive,34th Battalion,14
WHITNALL,Alexander C,Tramways Traffic,55th  Battalion,24
WILKINSON,Corbett,Railways Locomotive,12th Field Artillery Brigade,14
WILLIAMS,Alfred E,Railways Traffic,30th Battalion (3rd Reinforcements),7
WILLIAMS,Austin A,Tramways Electrical,17th Battalion (9th Reinforcements),26
WILLIAMS,Edward,Railways Permanent Way,34th Battalion,18
WILLIAMS,Frederick A,Railways Locomotive,1st Field Artillery,14
WILLIAMS,George N,Railways Traffic,35th Battalion,7
WILLIAMS,James,Tramways Traffic,8th Field Ambulance (8rd Reinforcements),24
WILLIAMS,Joseph,Railways Permanent Way,9th Machine Gun Coy (5th Reinforcements),18
WILLIAMS,Lloyd E,Railways Traffic,55th Battalion (2nd Reinforcements),7
WILLIAMSON,William W,Railways Traffic,18th Battalion,7
WILLIS,George S,Railways Traffic,63rd Battalion,7
WILLMOT,Arthur,Railways Permanent Way,19th Battalion,18
WILSON,Albert A,Tramways Traffic,1st Battalion,24
WILSON,George,Railways Locomotive,55th Battalion (6th Reinforcements),14
WILSON,William C,Tramways Electrical,Headquarters 2nd Division,26
WINDER,Stanley H,Tramways Traffic,3rd Battalion,25
WITT,Arthur,Railways Permanent Way,17th Battalion (2nd Reinforcements),18
WOOD,Evelyn A,Tramways Traffic,4th Battalion,25
WOODCOCK,Thomas,Railways Construction,4th Field Artillery Brigade,20
WOODWORTH,Wilfred,Railways Locomotive,2nd Battalion,14
WORNSNIP,James,Tramways Traffic,17th Battalion (10th Reinforcements),25
WORTHINGTON,Robert D'L L,Railways Locomotive,20th Battalion,14
WRAY,William,Railways Traffic,18th Battalion,7
WRIGHT,Leslie,Railways Signalling,1st Battalion,19
WRIGHT,Reginald C,Railways Permanent Way,3rd Battalion,18
WRIGHT,Thomas,Railways Traffic,3rd Light Railway Operating Company,7
WRIGHT,Thomas A R,Railways Locomotive,1st Battalion,14
WRIGHT,William H,Railways Permanent Way,19th Battalion (16th Reinforcements),18
YANSEN,John,Railways Locomotive,45th Battalion,14
YOUNG,Frederick R C,Railways Permanent Way,1st Australian Light Horse,18
YOUNG,Reginald H H,Tramways Traffic,4th Battalion (22nd Reinforcements),25
YUILLE,Robert,Railways Locomotive,9th Field Company Engineers,14
ZUCKER,William S,Railways Electrical,13th Battalion,19
